date,price
1-Jan-10,-0.455
4-Jan-10,-0.505
5-Jan-10,-0.38
6-Jan-10,-0.4
7-Jan-10,-0.35
8-Jan-10,-0.42
11-Jan-10,-0.41
12-Jan-10,-0.375
13-Jan-10,-0.34
14-Jan-10,-0.295
15-Jan-10,-0.305
18-Jan-10,-0.325
19-Jan-10,-0.245
20-Jan-10,-0.14
21-Jan-10,-0.21
22-Jan-10,-0.25
25-Jan-10,-0.285
26-Jan-10,-0.255
27-Jan-10,-0.2
28-Jan-10,-0.265
29-Jan-10,-0.27
1-Feb-10,-0.215
2-Feb-10,-0.29
3-Feb-10,-0.28
4-Feb-10,-0.185
5-Feb-10,-0.15
8-Feb-10,-0.22
9-Feb-10,-0.295
10-Feb-10,-0.25
11-Feb-10,-0.29
12-Feb-10,-0.3
15-Feb-10,-0.305
16-Feb-10,-0.36
17-Feb-10,-0.35
18-Feb-10,-0.35
19-Feb-10,-0.325
22-Feb-10,-0.24
23-Feb-10,-0.26
24-Feb-10,-0.295
25-Feb-10,-0.25
26-Feb-10,-0.295
1-Mar-10,-0.265
2-Mar-10,-0.27
3-Mar-10,-0.345
4-Mar-10,-0.3
5-Mar-10,-0.34
8-Mar-10,-0.33
9-Mar-10,-0.345
10-Mar-10,-0.355
11-Mar-10,-0.36
12-Mar-10,-0.38
15-Mar-10,-0.26
16-Mar-10,-0.33
17-Mar-10,-0.305
18-Mar-10,-0.23
19-Mar-10,-0.295
22-Mar-10,-0.26
23-Mar-10,-0.29
24-Mar-10,-0.27
25-Mar-10,-0.315
26-Mar-10,-0.265
29-Mar-10,-0.315
30-Mar-10,-0.285
31-Mar-10,-0.295
1-Apr-10,-0.288
2-Apr-10,-0.29
5-Apr-10,-0.293
6-Apr-10,-0.305
7-Apr-10,-0.335
8-Apr-10,-0.355
9-Apr-10,-0.4
12-Apr-10,-0.33
13-Apr-10,-0.285
14-Apr-10,-0.365
15-Apr-10,-0.29
16-Apr-10,-0.3
19-Apr-10,-0.245
20-Apr-10,-0.325
21-Apr-10,-0.29
22-Apr-10,-0.345
23-Apr-10,-0.335
26-Apr-10,-0.31
27-Apr-10,-0.165
28-Apr-10,-0.195
29-Apr-10,-0.38
30-Apr-10,-0.345
3-May-10,-0.305
4-May-10,-0.205
5-May-10,-0.205
6-May-10,-0.245
