date,price
20-Dec-10,0.035
21-Dec-10,-0.045
22-Dec-10,-0.04
23-Dec-10,-0.07
24-Dec-10,-0.1
27-Dec-10,-0.195
28-Dec-10,-0.075
29-Dec-10,-0.105
30-Dec-10,-0.1
31-Dec-10,-0.32
3-Jan-11,-0.095
4-Jan-11,-0.09
5-Jan-11,-0.005
6-Jan-11,-0.08
7-Jan-11,-0.195
10-Jan-11,-0.033
11-Jan-11,-0.17
12-Jan-11,-0.265
13-Jan-11,-0.195
14-Jan-11,-0.12
17-Jan-11,-0.125
18-Jan-11,-0.2
19-Jan-11,-0.095
20-Jan-11,-0.013
21-Jan-11,-0.135
24-Jan-11,-0.115
25-Jan-11,-0.07
26-Jan-11,-0.105
27-Jan-11,-0.05
28-Jan-11,-0.025
31-Jan-11,-0.115
1-Feb-11,-0.17
2-Feb-11,-0.225
3-Feb-11,-0.155
4-Feb-11,-0.175
7-Feb-11,-0.195
8-Feb-11,-0.195
9-Feb-11,-0.06
10-Feb-11,-0.11
11-Feb-11,-0.03
14-Feb-11,-0.065
15-Feb-11,-0.105
16-Feb-11,-0.16
17-Feb-11,-0.145
18-Feb-11,-0.19
21-Feb-11,-0.045
22-Feb-11,0.02
23-Feb-11,0.04
24-Feb-11,0.03
25-Feb-11,-0.015
28-Feb-11,-0.17
1-Mar-11,-0.1
2-Mar-11,-0.048
3-Mar-11,-0.08
4-Mar-11,-0.085
7-Mar-11,-0.1
8-Mar-11,-0.12
9-Mar-11,-0.08
10-Mar-11,0.05
11-Mar-11,-0.065
14-Mar-11,-0.05
15-Mar-11,-0.005
16-Mar-11,0.03
17-Mar-11,-0.015
18-Mar-11,-0.125
21-Mar-11,-0.155
22-Mar-11,-0.125
23-Mar-11,-0.06
24-Mar-11,-0.15
25-Mar-11,-0.175
28-Mar-11,-0.12
29-Mar-11,-0.055
30-Mar-11,-0.09
31-Mar-11,-0.145
1-Apr-11,-0.155
4-Apr-11,-0.173
5-Apr-11,-0.11
6-Apr-11,-0.17
7-Apr-11,-0.08
8-Apr-11,-0.19
11-Apr-11,-0.105
12-Apr-11,-0.11
13-Apr-11,-0.11
14-Apr-11,0.005
15-Apr-11,-0.025
