date,price
14-Jan-11,29.571
17-Jan-11,29.54
18-Jan-11,29.58
19-Jan-11,29.581
20-Jan-11,29.464
21-Jan-11,29.191
24-Jan-11,29.114
25-Jan-11,29.492
26-Jan-11,29.474
27-Jan-11,29.491
28-Jan-11,29.407
31-Jan-11,29.283
1-Feb-11,29.068
2-Feb-11,28.925
3-Feb-11,28.96
4-Feb-11,29
7-Feb-11,29.075
8-Feb-11,29.009
9-Feb-11,28.954
10-Feb-11,28.968
11-Feb-11,29.197
14-Feb-11,28.919
15-Feb-11,29.096
16-Feb-11,29.08
17-Feb-11,29.036
18-Feb-11,29.031
21-Feb-11,29.352
22-Feb-11,29.545
23-Feb-11,29.544
24-Feb-11,29.604
25-Feb-11,29.881
28-Feb-11,29.881
1-Mar-11,29.657
2-Mar-11,29.644
3-Mar-11,29.594
4-Mar-11,29.499
7-Mar-11,29.499
8-Mar-11,29.499
9-Mar-11,29.499
10-Mar-11,29.499
11-Mar-11,29.581
14-Mar-11,29.54
15-Mar-11,29.547
16-Mar-11,29.542
17-Mar-11,29.338
18-Mar-11,29.594
21-Mar-11,29.568
22-Mar-11,29.537
23-Mar-11,29.579
24-Mar-11,29.58
25-Mar-11,29.45
28-Mar-11,29.279
29-Mar-11,29.471
30-Mar-11,29.48
31-Mar-11,29.401
1-Apr-11,29.266
4-Apr-11,29.381
5-Apr-11,29.266
6-Apr-11,29.003
7-Apr-11,28.969
8-Apr-11,28.934
11-Apr-11,28.925
12-Apr-11,29.091
13-Apr-11,29.007
14-Apr-11,29.006
15-Apr-11,29.015
18-Apr-11,29.047
19-Apr-11,29.082
20-Apr-11,29.012
21-Apr-11,28.883
22-Apr-11,28.902
25-Apr-11,28.903
26-Apr-11,28.905
27-Apr-11,28.845
28-Apr-11,28.707
29-Apr-11,28.641
2-May-11,28.565
3-May-11,28.58
4-May-11,28.616
5-May-11,28.602
6-May-11,28.723
9-May-11,28.676
10-May-11,28.604
11-May-11,28.576
12-May-11,28.707
13-May-11,28.727
16-May-11,28.83
17-May-11,28.854
18-May-11,28.873
19-May-11,28.831
20-May-11,28.765
23-May-11,28.962
24-May-11,28.911
25-May-11,28.938
26-May-11,28.907
27-May-11,28.847
30-May-11,28.782
31-May-11,28.677
1-Jun-11,28.64
2-Jun-11,28.778
3-Jun-11,28.703
6-Jun-11,28.756
7-Jun-11,28.714
8-Jun-11,28.696
9-Jun-11,28.747
10-Jun-11,28.783
13-Jun-11,28.82
14-Jun-11,28.831
15-Jun-11,28.838
16-Jun-11,28.905
17-Jun-11,28.967
20-Jun-11,28.986
21-Jun-11,28.929
22-Jun-11,28.853
23-Jun-11,28.885
24-Jun-11,28.878
27-Jun-11,28.941
28-Jun-11,28.933
29-Jun-11,28.887
30-Jun-11,28.756
1-Jul-11,28.768
4-Jul-11,28.722
5-Jul-11,28.783
6-Jul-11,28.818
7-Jul-11,28.816
8-Jul-11,28.765
11-Jul-11,28.832
12-Jul-11,28.926
13-Jul-11,28.859
14-Jul-11,28.833
15-Jul-11,28.883
18-Jul-11,28.947
19-Jul-11,28.894
20-Jul-11,28.862
21-Jul-11,28.878
22-Jul-11,28.819
25-Jul-11,28.839
26-Jul-11,28.865
27-Jul-11,28.784
28-Jul-11,28.813
29-Jul-11,28.884
1-Aug-11,28.988
2-Aug-11,28.929
3-Aug-11,28.912
4-Aug-11,28.945
5-Aug-11,28.956
8-Aug-11,28.997
9-Aug-11,28.994
10-Aug-11,28.97
11-Aug-11,28.976
12-Aug-11,28.98
15-Aug-11,28.96
16-Aug-11,28.933
17-Aug-11,28.924
18-Aug-11,28.978
19-Aug-11,29.02
22-Aug-11,29.013
23-Aug-11,28.987
24-Aug-11,29.023
25-Aug-11,29.025
26-Aug-11,29.041
29-Aug-11,29.03
30-Aug-11,29.024
31-Aug-11,29.01
1-Sep-11,28.954
2-Sep-11,29.012
5-Sep-11,29.03
6-Sep-11,29.106
7-Sep-11,29.101
8-Sep-11,29.143
9-Sep-11,29.208
13-Sep-11,29.479
14-Sep-11,29.594
15-Sep-11,29.598
16-Sep-11,29.57
19-Sep-11,29.748
20-Sep-11,29.901
21-Sep-11,29.946
22-Sep-11,30.408
23-Sep-11,30.4
26-Sep-11,30.591
27-Sep-11,30.475
28-Sep-11,30.403
29-Sep-11,30.41
30-Sep-11,30.485
3-Oct-11,30.572
4-Oct-11,30.68
5-Oct-11,30.63
6-Oct-11,30.607
7-Oct-11,30.486
11-Oct-11,30.331
12-Oct-11,30.385
13-Oct-11,30.274
14-Oct-11,30.287
17-Oct-11,30.064
18-Oct-11,30.141
19-Oct-11,30.094
20-Oct-11,30.245
21-Oct-11,30.285
24-Oct-11,30.128
25-Oct-11,30.115
26-Oct-11,30.118
27-Oct-11,30.057
28-Oct-11,29.858
31-Oct-11,29.918
1-Nov-11,30.079
2-Nov-11,30.098
3-Nov-11,30.206
4-Nov-11,30.021
7-Nov-11,30.102
8-Nov-11,30.1
9-Nov-11,30.057
10-Nov-11,30.237
11-Nov-11,30.183
14-Nov-11,30.164
15-Nov-11,30.195
16-Nov-11,30.219
17-Nov-11,30.199
18-Nov-11,30.251
21-Nov-11,30.253
22-Nov-11,30.305
23-Nov-11,30.392
24-Nov-11,30.431
25-Nov-11,30.426
28-Nov-11,30.444
29-Nov-11,30.393
30-Nov-11,30.333
1-Dec-11,30.131
2-Dec-11,30.151
5-Dec-11,30.169
6-Dec-11,30.217
7-Dec-11,30.159
8-Dec-11,30.168
9-Dec-11,30.216
12-Dec-11,30.203
13-Dec-11,30.248
14-Dec-11,30.282
15-Dec-11,30.362
16-Dec-11,30.361
19-Dec-11,30.382
20-Dec-11,30.333
21-Dec-11,30.281
22-Dec-11,30.302
23-Dec-11,30.285
26-Dec-11,30.293
27-Dec-11,30.306
28-Dec-11,30.298
29-Dec-11,30.277
30-Dec-11,30.27
2-Jan-12,30.312
3-Jan-12,30.291
4-Jan-12,30.281
5-Jan-12,30.253
6-Jan-12,30.233
9-Jan-12,30.197
10-Jan-12,30.035
11-Jan-12,29.969
12-Jan-12,29.974
13-Jan-12,29.975
16-Jan-12,30.046
17-Jan-12,29.951
18-Jan-12,29.96
19-Jan-12,29.923
20-Jan-12,29.955
30-Jan-12,29.741
31-Jan-12,29.587
1-Feb-12,29.657
2-Feb-12,29.512
3-Feb-12,29.53
6-Feb-12,29.589
7-Feb-12,29.551
8-Feb-12,29.515
9-Feb-12,29.434
10-Feb-12,29.527
13-Feb-12,29.521
14-Feb-12,29.573
15-Feb-12,29.504
16-Feb-12,29.586
17-Feb-12,29.558
20-Feb-12,29.542
21-Feb-12,29.538
22-Feb-12,29.55
23-Feb-12,29.581
24-Feb-12,29.577
29-Feb-12,29.394
1-Mar-12,29.453
2-Mar-12,29.434
5-Mar-12,29.503
6-Mar-12,29.518
7-Mar-12,29.547
8-Mar-12,29.506
9-Mar-12,29.49
12-Mar-12,29.523
13-Mar-12,29.517
14-Mar-12,29.522
15-Mar-12,29.551
16-Mar-12,29.549
19-Mar-12,29.521
20-Mar-12,29.544
21-Mar-12,29.561
22-Mar-12,29.562
23-Mar-12,29.576
26-Mar-12,29.618
27-Mar-12,29.574
28-Mar-12,29.551
29-Mar-12,29.558
30-Mar-12,29.515
2-Apr-12,29.495
3-Apr-12,29.465
5-Apr-12,29.5
6-Apr-12,29.531
9-Apr-12,29.55
10-Apr-12,29.543
11-Apr-12,29.544
12-Apr-12,29.532
13-Apr-12,29.517
16-Apr-12,29.536
17-Apr-12,29.517
18-Apr-12,29.523
19-Apr-12,29.513
20-Apr-12,29.499
23-Apr-12,29.507
24-Apr-12,29.502
25-Apr-12,29.488
26-Apr-12,29.381
27-Apr-12,29.302
30-Apr-12,29.169
2-May-12,29.195
3-May-12,29.226
4-May-12,29.241
7-May-12,29.332
8-May-12,29.316
9-May-12,29.352
10-May-12,29.367
11-May-12,29.396
14-May-12,29.495
15-May-12,29.486
16-May-12,29.616
17-May-12,29.529
18-May-12,29.598
21-May-12,29.567
22-May-12,29.515
23-May-12,29.544
24-May-12,29.601
25-May-12,29.626
28-May-12,29.616
29-May-12,29.606
30-May-12,29.714
31-May-12,29.841
1-Jun-12,29.913
4-Jun-12,30.036
5-Jun-12,29.979
6-Jun-12,29.883
7-Jun-12,29.874
8-Jun-12,29.959
11-Jun-12,29.887
12-Jun-12,29.961
13-Jun-12,29.956
14-Jun-12,29.942
15-Jun-12,29.899
18-Jun-12,29.855
19-Jun-12,29.856
20-Jun-12,29.858
21-Jun-12,29.87
22-Jun-12,29.939
25-Jun-12,29.965
26-Jun-12,29.963
27-Jun-12,29.915
28-Jun-12,29.918
29-Jun-12,29.887
2-Jul-12,29.882
3-Jul-12,29.869
4-Jul-12,29.83
5-Jul-12,29.865
6-Jul-12,29.899
9-Jul-12,29.938
10-Jul-12,29.962
11-Jul-12,29.94
12-Jul-12,30.001
13-Jul-12,29.988
